CC,USN,sgpa
1BC,1BC16CS011,7.58
1BC,1BC16CS012,5.25
1BC,1BC16CS013,6.92
1BG,1BG16CS001,8.33
1BG,1BG16CS002,6.42
1BG,1BG16CS003,7.33
1BG,1BG16CS004,8.67
1BG,1BG16CS005,6
1BG,1BG16CS006,7.83
1BG,1BG16CS007,8.5
1BG,1BG16CS008,9
1BG,1BG16CS009,8.08
1BG,1BG16CS010,9.25
1BG,1BG16CS011,7.75
1BG,1BG16CS012,7.92
1BG,1BG16CS013,9
1BG,1BG16CS014,2.08
1BG,1BG16CS015,9.5
1BG,1BG16CS016,8.17
1BG,1BG16CS017,7.33
1BG,1BG16CS018,9
1BG,1BG16CS019,4.25
1BG,1BG16CS020,9.17
1BG,1BG16CS021,9.17
1BG,1BG16CS022,7.5
1BG,1BG16CS023,7.83
1BG,1BG16CS024,8.67
1BG,1BG16CS025,8.67
1BG,1BG16CS026,8.67
1BG,1BG16CS027,9.33
1BG,1BG16CS028,9
1BG,1BG16CS029,9.33
1BG,1BG16CS030,3.42
1BG,1BG16CS031,5.75
1BG,1BG16CS032,6.25
1BG,1BG16CS033,8
1BG,1BG16CS034,7.42
1BG,1BG16CS035,7
1BG,1BG16CS036,8.83
1BG,1BG16CS037,6.83
1BG,1BG16CS038,9.17
1BG,1BG16CS039,8.42
1BG,1BG16CS041,5.58
1BG,1BG16CS042,9.17
1BG,1BG16CS043,8
1BG,1BG16CS044,9.17
1BG,1BG16CS045,8.5
1BG,1BG16CS046,6.08
1BG,1BG16CS047,2.92
1BG,1BG16CS048,8.42
1BG,1BG16CS049,8
1BG,1BG16CS050,8
1BG,1BG16CS051,9.5
1BG,1BG16CS052,7.83
1BG,1BG16CS053,2.75
1BG,1BG16CS054,8.92
1BG,1BG16CS055,7.42
1BG,1BG16CS056,7.83
1BG,1BG16CS057,9.5
1BG,1BG16CS058,7.83
1BG,1BG16CS059,7.75
1BG,1BG16CS060,8.17
1BG,1BG16CS061,5.67
1BG,1BG16CS062,8.5
1BG,1BG16CS063,8.83
1BG,1BG16CS064,8.75
1BG,1BG16CS065,10
1BG,1BG16CS066,9.33
1BG,1BG16CS067,9.5
1BG,1BG16CS068,6.25
1BG,1BG16CS069,9.67
1BG,1BG16CS070,9.67
1BG,1BG16CS071,8.25
1BG,1BG16CS072,5.83
1BG,1BG16CS073,8.67
1BG,1BG16CS074,6.75
1BG,1BG16CS075,8.33
1BG,1BG16CS076,3.08
1BG,1BG16CS077,7
1BG,1BG16CS078,8.5
1BG,1BG16CS079,8.83
1BG,1BG16CS080,6.33
1BG,1BG16CS081,8.5
1BG,1BG16CS082,8.58
1BG,1BG16CS083,5.08
1BG,1BG16CS084,6.17
1BG,1BG16CS085,7.83
1BG,1BG16CS086,8.83
1BG,1BG16CS087,9.5
1BG,1BG16CS088,9
1BG,1BG16CS089,7.67
1BG,1BG16CS090,6.83
1BG,1BG16CS091,5.42
1BG,1BG16CS092,7.92
1BG,1BG16CS093,7.25
1BG,1BG16CS094,8.33
1BG,1BG16CS095,6.33
1BG,1BG16CS096,8
1BG,1BG16CS097,9
1BG,1BG16CS098,8.5
1BG,1BG16CS099,8.5
1BG,1BG16CS100,7.5
1BG,1BG16CS101,9.42
1BG,1BG16CS102,4.75
1BG,1BG16CS103,8.25
1BG,1BG16CS104,8.58
1BG,1BG16CS105,8.33
1BG,1BG16CS106,8.5
